Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,ABS,Airbags,CD/MP3/Bluetooth,Caméra De Recul,Climatisation,ESP,Jantes Aluminium,Limiteur De Vitesse,Ordinateur De Bord,Radar De Recul,Régulateur De Vitesse,Sièges Cuir,Système De Navigation/GPS,Toit Ouvrant,Verrouillage Centralisé À Distance,Vitres Électriques
Skoda Octavia Diesel Automatique,HASSANI FAYCAL,195000.0,Kénitra,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Val Fleury,WW au Maroc,Très bon,Skoda,Octavia,2018-01-01,5,1,134999.5,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1ÈRE MAIN PORSCHE CAYENNE S DIESEL,LAACHIRI AUTO,260000.0,Tanger,Diesel,Automatique,12,19,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Porsche,Cayenne,2014-01-01,5,1,184999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Jetta Diesel Automatique 2017,Charif Mohamed,148000.0,Casablanca,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Sidi Maarouf,WW au Maroc,Très bon,Volkswagen,Jetta,2017-01-01,5,1,194999.5,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
MERCEDES CLASSE C 220D AMG LINE PACK 63AMG,LAACHIRI AUTO,315000.0,Tanger,Diesel,Automatique,9,20,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Très bon,Mercedes-Benz,Classe C,2015-01-01,5,1,154999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ère Main BMW Série 320d GRANTURISMO IMPORTENEUF,LAACHIRI AUTO,225000.0,Tanger,Diesel,Automatique,8,18,"Voitures d'occasion, à vendre",Centre ville,Importée neuve,Excellent,BMW,serie_3_gt,2014-01-01,5,1,134999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opel Astra Diesel cosmo 2015 7CV,Tarek Auto Moto,139000.0,Fès,Diesel,Manuelle,7,12,"Voitures d'occasion, à vendre",Hay Saada,WW au Maroc,Excellent,Opel,Astra,2015-01-01,5,1,92499.5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Seat Ateca Diesel Automatique 2019 à Casablanca,yassine,239000.0,Casablanca,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Excellent,Seat,Ateca,2019-01-01,5,1,164999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Renault Captur Diesel Automatique 2019,Global Occaz Marrif,170000.0,Casablanca,Diesel,Automatique,6,7,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Renault,Captur,2019-01-01,5,1,62499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe A Diesel Automatique 2015,Yassine,170000.0,Casablanca,Diesel,Automatique,6,5,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Très bon,Mercedes-Benz,Classe A,2015-01-01,5,0,194999.5,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
ford fista,auto khalid,98000.0,Casablanca,Essence,Manuelle,6,7,"Voitures d'occasion, à vendre",Bournazil,Dédouanée,Très bon,Ford,Fiesta,2018-01-01,5,1,104999.5,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1
Nissan navara,AUTO DOUBLE VOIE,197000.0,Kénitra,Diesel,Manuelle,10,15,"Voitures d'occasion, à vendre",Al Maghrib Al Arabi,WW au Maroc,Très bon,Nissan,Navara,2018-01-01,5,1,184999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Renault Clio Essence Manuelle 2000 à Marrakech,Marrakech,36000.0,Marrakech,Essence,Manuelle,8,4,"Voitures d'occasion, à vendre",Hay Targa,WW au Maroc,Très bon,Renault,Clio,2000-01-01,5,0,2499.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Kangoo Diezel 7ch,yahya,33000.0,Casablanca,Diesel,Manuelle,7,6,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Correct,Renault,Kangoo,2001-01-01,5,1,184999.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Volkswagan Tiguan automatique diesel,Amina,3100000.0,Temara,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Centre Ville,WW au Maroc,Excellent,Volkswagen,Tiguan,2019-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe E Diesel Automatique 2011,Ahmed Bensoltane,110000.0,Oujda,Diesel,Automatique,12,3,"Voitures d'occasion, à vendre",Andalous,WW au Maroc,Très bon,Mercedes-Benz,Classe E,2011-01-01,5,0,32499.5,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
Skoda Octavia,mahfoud,165000.0,Agadir,Diesel,Manuelle,8,6,"Voitures d'occasion, à vendre",El Houda,WW au Maroc,Très bon,Skoda,Octavia,2017-01-01,5,1,104999.5,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
Audi RS3 Essence Automatique 2019 à Marrakech,Zayd,470000.0,Marrakech,Essence,Automatique,14,6,"Voitures d'occasion, à vendre",Targa,Importée neuve,Neuf,Audi,RS3,2019-01-01,5,1,72499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VW TIGUAN 2.0 TDI LOUNGE DOUANE2018 FULLOPTION,AUTOMOBILES TINGIS,238000.0,Tanger,Diesel,Automatique,8,16,"Voitures d'occasion, à vendre",Souani,Dédouanée,Excellent,Volkswagen,Tiguan,2015-01-01,5,1,184999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Picanto en tres bon etat,noamane,53000.0,El Jadida,Essence,Manuelle,5,4,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Très bon,Kia,Picanto,2008-01-01,5,1,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seat Leon Diesel Manuelle 2014 à Fès,GARAGE LINA,162000.0,Fès,Diesel,Manuelle,8,12,"Voitures d'occasion, à vendre",Agdal,Dédouanée,Excellent,Seat,Leon,2014-01-01,5,1,184999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kia Picanto Essence Automatique 2022 à Casablanca,Supercars,119000.0,Casablanca,Essence,Automatique,6,17,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Excellent,Kia,Picanto,2022-01-01,5,1,62499.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
Renault Mégane Diesel,Auto Simo,115000.0,Casablanca,Diesel,Manuelle,6,11,"Voitures d'occasion, à vendre",Sidi Maarouf,WW au Maroc,Excellent,Renault,Megane 3,2015-01-01,5,0,134999.5,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
bmw x3 tt options,Particulier,195000.0,Fès,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Route Ain Chkaf,WW au Maroc,Excellent,BMW,X3,2014-01-01,5,0,134999.5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Audi SQ5 V6,Mint Luxe Auto,1390000.0,Marrakech,Diesel,Automatique,14,11,"Voitures d'occasion, à vendre",Route de Casablanca,Importée neuve,Neuf,Audi,sq5,2024-01-01,3,1,2499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes C220 Diesel Automatique particulier,Mehdi,149000.0,Casablanca,Diesel,Automatique,8,8,"Voitures d'occasion, à vendre",Bourgogne,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2012-01-01,5,1,194999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiat 500 Diesel Manuelle 2016 à Casablanca,SUPERCAR,108000.0,Casablanca,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,Fiat,500,2016-01-01,5,0,104999.5,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
Volkswagen Tiguan Diesel Automatique 2017,Amnir Auto,295000.0,Kénitra,Diesel,Automatique,8,13,"Voitures d'occasion, à vendre",Al Maghrib Al Arabi,Dédouanée,Excellent,Volkswagen,Tiguan,2017-01-01,5,0,224999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
BMW série 3,mourad M,218000.0,Marrakech,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Targa,WW au Maroc,Excellent,BMW,Serie 3,2017-01-01,5,1,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota Yaris Essence Manuelle 2019 à Rabat,Best way car,109000.0,Rabat,Essence,Manuelle,6,6,"Voitures d'occasion, à vendre",Hay el Fath,WW au Maroc,Excellent,Toyota,Yaris,2019-01-01,5,1,87499.5,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
Mahindra pick-up Diesel Manuelle 2020,Particulier,92000.0,Casablanca,Diesel,Manuelle,8,4,"Voitures d'occasion, à vendre",Hay Hassani,WW au Maroc,Excellent,Mahindra,Scorpion,2020-01-01,5,1,184999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Opel Corsa Diesel Manuelle 2021 à Casablanca,Particulier,145000.0,Casablanca,Diesel,Manuelle,6,7,"Voitures d'occasion, à vendre",Bournazil,WW au Maroc,Excellent,Opel,Corsa,2021-01-01,3,1,72499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Renault Laguna Diesel Manuelle 2004 à Tanger,Particulier,47000.0,Tanger,Diesel,Manuelle,7,12,"Voitures d'occasion, à vendre",Ahlane,WW au Maroc,Très bon,Renault,Laguna,2004-01-01,5,0,224999.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Dokker avec clima 6 porte particulier excellente,Particulier,115000.0,Casablanca,Diesel,Manuelle,6,7,"Voitures d'occasion, à vendre",Bourgogne,WW au Maroc,Excellent,Dacia,Dokker,2016-01-01,5,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Opel Insignia Essence Manuelle 2010 à Agadir,Particulier,78000.0,Agadir,Essence,Manuelle,10,7,"Voitures d'occasion, à vendre",Anahda,WW au Maroc,Très bon,Opel,Insignia,2010-01-01,5,0,104999.5,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1
Mercedes CLS,Particulier,595000.0,Casablanca,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",2 Mars,Importée neuve,Excellent,Mercedes-Benz,Classe CLS,2019-01-01,5,0,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Citroen C3 Cactus Diesel Manuelle 2019 tts opt,Particulier,125000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Mers Sultan,WW au Maroc,Excellent,Citroen,C3 Cactus,2019-01-01,5,1,134999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Renault captur,Particulier,120000.0,Marrakech,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Guéliz,WW au Maroc,Excellent,Renault,Captur,2015-01-01,5,1,144999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Clio Diesel Automatique 2018 à Casablanca,Particulier,118000.0,Casablanca,Diesel,Automatique,6,10,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Très bon,Renault,Clio,2018-01-01,5,0,104999.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
Skoda Karoq Diesel Automatique 2021 à Agadir,Particulier,262000.0,Agadir,Diesel,Automatique,8,11,"Voitures d'occasion, à vendre",Amicales,WW au Maroc,Excellent,Skoda,Karoq,2021-01-01,5,0,174999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Range Rover Sport,Particulier,560000.0,Casablanca,Diesel,Automatique,12,9,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2018-01-01,5,0,97499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Audi Q5 Sline 8cv Automatique,Particulier,175000.0,Marrakech,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Hay Izdihar,Dédouanée,Excellent,Audi,Q5,2011-01-01,5,1,324999.5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
BMW X5 Diesel Automatique 2009 à Tanger,Particulier,109000.0,Tanger,Diesel,Automatique,12,3,"Voitures d'occasion, à vendre",Ahlane,Dédouanée,Très bon,BMW,X5,2009-01-01,5,0,184999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volvo XC90 Diesel Automatique 2017 à Casablanca,Particulier,390000.0,Casablanca,Diesel,Automatique,9,12,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Très bon,Volvo,XC90,2017-01-01,5,1,47499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Toyota Auris Essence clim 80000km neuf,Particulier,78000.0,Casablanca,Essence,Manuelle,8,6,"Voitures d'occasion, à vendre",Quartier des Hôpitaux,WW au Maroc,Excellent,Toyota,Auris,2008-01-01,5,0,77499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Crafter 21 place pour tourisme et personnel 2021,Particulier,327000.0,Casablanca,Diesel,Manuelle,8,5,"Voitures d'occasion, à vendre",Quartier des Hôpitaux,WW au Maroc,Excellent,Volkswagen,CRAFTER,2021-01-01,5,1,104999.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Audi A6 Ultra Sline,Particulier,250000.0,Casablanca,Diesel,Automatique,8,9,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Excellent,Audi,A6,2017-01-01,5,0,134999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Duster extrême 42000km Automatique 2022 ww,Particulier,198000.0,Casablanca,Diesel,Automatique,6,8,"Voitures d'occasion, à vendre",Polo,WW au Maroc,Excellent,Dacia,Duster,2022-01-01,5,1,37499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mercedes-Benz Classe E Coupé Diesel Automatique,Particulier,445000.0,Salé,Diesel,Automatique,9,20,"Voitures d'occasion, à vendre",Sala El Jadida,WW au Maroc,Excellent,Mercedes-Benz,classe_e_coupe,2018-01-01,5,1,77499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Peugeot 508 Diesel Manuelle 2016 à Casablanca,Particulier,123000.0,Casablanca,Diesel,Manuelle,6,6,"Voitures d'occasion, à vendre",Californie,WW au Maroc,Très bon,Peugeot,508,2016-01-01,5,0,134999.5,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
