Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,Equipements
Volkswagen Tiguan Diesel Automatique 2019,GC AUTO,PRIX NON SPÉCIFIÉ,Fès,Diesel,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,Dédouanée,Neuf,Volkswagen,Tiguan,2019,5,Non,130 000 - 139 999,"['Sièges Cuir', 'Système De Navigation/GPS', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'ABS', 'Airbags', 'ESP', 'Ordinateur De Bord', 'Radar De Recul', 'Climatisation', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Toit Ouvrant']"
Land Rover Discovery Diesel Manuelle 2005 à Zaïo,Hda Marouche,PRIX NON SPÉCIFIÉ,Zaïo,Diesel,Manuelle,8 CV,8 Images,"Voitures d'occasion, à vendre",Toute la ville,Importée neuve,Très bon,Land Rover,Discovery,2005,5,Non,75 000 - 79 999,['Verrouillage Centralisé À Distance']
Renault,Tahiri الطاهري,35 000 DH,Tétouan,Essence,Manuelle,8 CV,5 Images,"Voitures d'occasion, à vendre",Centre ville,,Excellent,Renault,19,1995,,,15 000 - 19 999,[]
Polo gti 2023,Med,380 000 DH,Tanger,Essence,Automatique,8 CV,8 Images,"Voitures d'occasion, à vendre",Centre ville,Importée neuve,Excellent,Volkswagen,Polo,2023,3,Oui,10 000 - 14 999,[]
Land Rover repris ok,HALIM,3 180 000 DH,Rabat,Diesel,Automatique,11 CV,20 Images,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2014,5,Non,150 000 - 159 999,"['Sièges Cuir', 'Caméra De Recul', 'Verrouillage Centralisé À Distance', 'ESP', 'ABS', 'Vitres Électriques', 'Système De Navigation/GPS', 'Toit Ouvrant', 'CD/MP3/Bluetooth', 'Ordinateur De Bord', 'Airbags', 'Limiteur De Vitesse', 'Radar De Recul', 'Climatisation', 'Régulateur De Vitesse', 'Jantes Aluminium']"
Hyundai ix 35 Diesel Manuelle 2012 à Casablanca,particulier,125 000 DH,Casablanca,Diesel,Manuelle,8 CV,6 Images,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Très bon,Hyundai,ix 35,2012,5,Non,150 000 - 159 999,"['Sièges Cuir', 'ABS', 'Radar De Recul', 'Ordinateur De Bord', 'Climatisation', 'CD/MP3/Bluetooth', 'Régulateur De Vitesse', 'Airbags', 'Jantes Aluminium', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'ESP', 'Vitres Électriques']"
Hyundai Tucson Diesel Automatique 2020,Global Occaz Marrif,270 000 DH,Casablanca,Diesel,Automatique,6 CV,7 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Hyundai,Tucson,2020,5,Oui,70 000 - 74 999,[]
CITROÉN C3,auto ZAAFRI,119 000 DH,Fès,Diesel,Manuelle,6 CV,12 Images,"Voitures d'occasion, à vendre",Al Hadiqa,WW au Maroc,Excellent,Citroen,C3,2019,5,Non,100 000 - 109 999,"['Airbags', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse', 'Système De Navigation/GPS', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Vitres Électriques', 'ABS', 'Ordinateur De Bord', 'Climatisation']"
Mercedes-Benz Classe S MAYBACH,AUTO REDA,460 000 DH,Casablanca,Diesel,Automatique,12 CV,15 Images,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Mercedes-Benz,Classe S,2015,3,Non,140 000 - 149 999,"['Sièges Cuir', 'Airbags', 'Système De Navigation/GPS', 'Toit Ouvrant', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Radar De Recul', 'ABS', 'Caméra De Recul', 'Limiteur De Vitesse', 'Jantes Aluminium', 'ESP', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Climatisation', 'Ordinateur De Bord']"
Audi RS3 performance 407 cv 2022 à Fès,Auto Wassim,PRIX NON SPÉCIFIÉ,Fès,Diesel,Automatique,14 CV,13 Images,"Voitures d'occasion, à vendre",Route Ain Chkaf,Importée neuve,Excellent,Audi,RS3,2022,5,Oui,10 000 - 14 999,[]
Audi A4 Diesel Automatique 2014 à Fès,Particulier,PRIX NON SPÉCIFIÉ,Fès,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Route d'Immouzere,Importée neuve,Excellent,Audi,A4,2014,5,Non,160 000 - 169 999,"['Limiteur De Vitesse', 'ESP', 'Jantes Aluminium', 'Radar De Recul', 'Airbags', 'Vitres Électriques', 'Caméra De Recul', 'Sièges Cuir', 'Climatisation', 'Système De Navigation/GPS', 'ABS', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'Régulateur De Vitesse', 'Toit Ouvrant']"
Opel Insignia Diesel 1 er main ✋,Auto Simo,110 000 DH,Casablanca,Diesel,Manuelle,8 CV,8 Images,"Voitures d'occasion, à vendre",Sidi Maarouf,WW au Maroc,Excellent,Opel,Insignia,2014,5,Oui,140 000 - 149 999,"['Airbags', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'Sièges Cuir', 'Système De Navigation/GPS', 'Toit Ouvrant', 'Ordinateur De Bord', 'ABS', 'Climatisation', 'Caméra De Recul', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Radar De Recul', 'ESP', 'Jantes Aluminium', 'CD/MP3/Bluetooth']"
Seat Leon Diesel Manuelle 2019 à Rabat,Taha Wadii,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,15 Images,"Voitures d'occasion, à vendre",Hassan,WW au Maroc,Excellent,Seat,Leon,2019,5,Oui,95 000 - 99 999,"['Jantes Aluminium', 'Limiteur De Vitesse', 'Vitres Électriques', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'Régulateur De Vitesse', 'ESP', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Ordinateur De Bord', 'Climatisation', 'ABS', 'Airbags', 'Sièges Cuir']"
Opel Astra Automatic Tout Option,Ads Cars,126 000 DH,Temara,Diesel,Automatique,8 CV,6 Images,"Voitures d'occasion, à vendre",Wifak,WW au Maroc,Excellent,Opel,Astra,2015,5,Oui,180 000 - 189 999,"['Caméra De Recul', 'Ordinateur De Bord', 'Radar De Recul', 'Vitres Électriques', 'Climatisation', 'Système De Navigation/GPS', 'Limiteur De Vitesse', 'Sièges Cuir', 'CD/MP3/Bluetooth', 'ESP', 'ABS', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'Airbags']"
Porsche Panamera Hybride Automatique 2019,AUTO REDA,950 000 DH,الدار البيضاء,Hybride,Automatique,17 CV,15 Images,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Porsche,Panamera,2019,3,Oui,70 000 - 74 999,"['Système De Navigation/GPS', 'ABS', 'Caméra De Recul', 'Climatisation', 'ESP', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Jantes Aluminium', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'CD/MP3/Bluetooth', 'Sièges Cuir', 'Toit Ouvrant', 'Airbags', 'Radar De Recul']"
Volkswagen Golf 8 GTD 2024,autobahn,570 000 DH,Casablanca,Diesel,Automatique,7 CV,8 Images,"Voitures d'occasion, à vendre",Anfa,Importée neuve,Neuf,Volkswagen,GOLF 8,2024,5,Oui,0 - 4 999,[]
Kia Picanto Essence Automatique 2021 à Marrakech,Mohamed,118 000 DH,Marrakech,Essence,Automatique,6 CV,6 Images,"Voitures d'occasion, à vendre",Massira,WW au Maroc,Excellent,Kia,Picanto,2021,5,Oui,100 000 - 109 999,"['Vitres Électriques', 'Climatisation', 'ABS', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Radar De Recul', 'ESP', 'Airbags', 'Jantes Aluminium', 'Ordinateur De Bord']"
Kia Picanto Essence Manuelle 2007 à Rabat,Ads Cars,57 000 DH,Rabat,Essence,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Yacoub El Mansour,WW au Maroc,Excellent,Kia,Picanto,2007,5,Oui,140 000 - 149 999,"['Vitres Électriques', 'ABS', 'Airbags', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'ESP', 'Climatisation']"
Range Rover Evoque,KHALID AUTO,205 000 DH,Tanger,Diesel,Automatique,9 CV,9 Images,"Voitures d'occasion, à vendre",Zemmouri,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2013,5,Non,180 000 - 189 999,"['Verrouillage Centralisé À Distance', 'Jantes Aluminium', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse', 'Vitres Électriques', 'Ordinateur De Bord', 'Airbags', 'Radar De Recul', 'ABS', 'Caméra De Recul', 'Système De Navigation/GPS', 'Sièges Cuir', 'ESP', 'Régulateur De Vitesse', 'Climatisation', 'Toit Ouvrant']"
Peugeot partner tabla,AUTO FAYCAL,55 000 DH,Casablanca,Diesel,Manuelle,7 CV,6 Images,"Voitures d'occasion, à vendre",Al Qods,WW au Maroc,Très bon,Peugeot,Partner,2012,5,Non,250 000 - 299 999,"['Verrouillage Centralisé À Distance', 'ABS', 'Vitres Électriques', 'Airbags']"
HYUNDAI I10 2018,ABDELHADI,PRIX NON SPÉCIFIÉ,Agadir,Essence,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",Assaka,WW au Maroc,Très bon,Hyundai,i 10,2018,5,Non,60 000 - 64 999,[]
dacia duster,Chaabi Auto,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Hay el Fath,,Excellent,Dacia,Duster,2019,5,Oui,90 000 - 94 999,[]
Range Rover Evoque,AUTO REDA,300 000 DH,Casablanca,Diesel,Automatique,8 CV,12 Images,"Voitures d'occasion, à vendre",Maarif,,Excellent,Land Rover,Range Rover Evoque,2019,5,Oui,90 000 - 94 999,"['Régulateur De Vitesse', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Airbags', 'Vitres Électriques', 'Ordinateur De Bord', 'ESP', 'Système De Navigation/GPS', 'Sièges Cuir', 'Climatisation', 'Toit Ouvrant', 'Radar De Recul', 'Limiteur De Vitesse', 'Jantes Aluminium', 'ABS', 'Verrouillage Centralisé À Distance']"
Audi A6 Diesel Automatique 2018 à Casablanca,AUTO REDA,280 000 DH,Casablanca,Diesel,Automatique,12 CV,12 Images,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Audi,A6,2018,3,Oui,120 000 - 129 999,"['Sièges Cuir', 'Ordinateur De Bord', 'Limiteur De Vitesse', 'Toit Ouvrant', 'ABS', 'Caméra De Recul', 'Vitres Électriques', 'Radar De Recul', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Jantes Aluminium', 'ESP', 'Airbags', 'Climatisation', 'Régulateur De Vitesse', 'Verrouillage Centralisé À Distance']"
Mercedes GLA,particulier,258 000 DH,Casablanca,Diesel,Automatique,8 CV,5 Images,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Excellent,Mercedes-Benz,Classe GLA,2018,5,Oui,45 000 - 49 999,"['Ordinateur De Bord', 'Régulateur De Vitesse', 'Jantes Aluminium', 'ESP', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Radar De Recul', 'Caméra De Recul', 'ABS', 'Airbags', 'Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse']"
Dacia Sandero,Ali Rouwani,95 000 DH,Settat,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Hay Al Kamal,WW au Maroc,Excellent,Dacia,Sandero,2016,5,Oui,10 000 - 14 999,"['Radar De Recul', 'Verrouillage Centralisé À Distance', 'Airbags', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse', 'Climatisation', 'Régulateur De Vitesse', 'Caméra De Recul', 'Vitres Électriques', 'Système De Navigation/GPS', 'Ordinateur De Bord']"
Volkswagen Tiguan 2.0L Diesel,si mohamed,PRIX NON SPÉCIFIÉ,Meknès,Diesel,Manuelle,8 CV,2 Images,"Voitures d'occasion, à vendre",Autre secteur,Dédouanée,Excellent,Volkswagen,Tiguan,2013,,,190 000 - 199 999,"['Régulateur De Vitesse', 'Système De Navigation/GPS', 'Ordinateur De Bord', 'CD/MP3/Bluetooth', 'Climatisation', 'ESP', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Radar De Recul', 'Limiteur De Vitesse', 'Jantes Aluminium', 'Caméra De Recul', 'ABS', 'Airbags']"
Nissan Juke Diesel Manuelle 2016 à Casablanca,kenza,120 000 DH,Casablanca,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Bon,Nissan,Juke,2016,5,Oui,130 000 - 139 999,"['Régulateur De Vitesse', 'Ordinateur De Bord', 'Climatisation', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'ABS', 'Caméra De Recul', 'Système De Navigation/GPS', 'Airbags', 'Limiteur De Vitesse']"
renault clio3 (km90),abderahim,74 000 DH,Kénitra,Essence,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",La Ville Haute,WW au Maroc,Excellent,Renault,Clio,2008,5,,90 000 - 94 999,"['CD/MP3/Bluetooth', 'Climatisation', 'Radar De Recul', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'Système De Navigation/GPS', 'Airbags', 'Caméra De Recul', 'Ordinateur De Bord', 'Régulateur De Vitesse']"
Volkswagen Jetta Diesel Manuelle 1990 à Tétouan,Chakor Mohammed,39 000 DH,Tétouan,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Taboula,Dédouanée,Bon,Volkswagen,Jetta,1990,5,Non,150 000 - 159 999,"['Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Jantes Aluminium']"
Seat Ibiza Essence Manuelle 2018 à Tétouan,auto confort 44,PRIX NON SPÉCIFIÉ,Tétouan,Essence,Manuelle,6 CV,10 Images,"Voitures d'occasion, à vendre",Safir,WW au Maroc,Neuf,Seat,Ibiza,2018,5,Non,100 000 - 109 999,"['Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'Airbags', 'Vitres Électriques', 'Régulateur De Vitesse', 'ESP', 'Climatisation', 'Jantes Aluminium', 'ABS']"
Opel Corsa Diesel Manuelle 2023 à Oujda,Ahmed,185 000 DH,Oujda,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Boustane,Importée neuve,Excellent,Opel,Corsa,2023,5,Oui,10 000 - 14 999,[]
Mercedes-Benz Classe S400 pack AMG,AUTO REDA,640 000 DH,Casablanca,Diesel,Automatique,12 CV,11 Images,"Voitures d'occasion, à vendre",Maarif,,Excellent,Mercedes-Benz,Classe S,2018,,Oui,95 000 - 99 999,"['Radar De Recul', 'Climatisation', 'Vitres Électriques', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'ESP', 'Jantes Aluminium', 'Airbags', 'Sièges Cuir', 'Caméra De Recul', 'Toit Ouvrant', 'ABS', 'Régulateur De Vitesse', 'Système De Navigation/GPS', 'Limiteur De Vitesse', 'CD/MP3/Bluetooth']"
Mercedes-Benz Classe C Diesel Automatique 2018,Nait Hmid Mohamed,350 000 DH,Casablanca,Diesel,Automatique,9 CV,6 Images,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2018,5,Oui,60 000 - 64 999,"['Climatisation', 'Vitres Électriques', 'Régulateur De Vitesse', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'CD/MP3/Bluetooth', 'Airbags', 'ABS', 'Jantes Aluminium', 'Caméra De Recul']"
pasat cc otomatiq modil 2009,Agadir,112 000 DH,Agadir,Diesel,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Bouargane,Dédouanée,Très bon,Volkswagen,PASSAT CC,2009,5,Non,170 000 - 179 999,"['Vitres Électriques', 'Radar De Recul', 'Jantes Aluminium', 'Système De Navigation/GPS', 'Limiteur De Vitesse', 'Verrouillage Centralisé À Distance', 'ABS', 'Climatisation', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'ESP', 'Airbags', 'Ordinateur De Bord', 'Régulateur De Vitesse', 'Sièges Cuir']"
Fiat 500 Diesel Manuelle 2015 à Casablanca,LAVAGE AUTO SAAD,87 000 DH,Casablanca,Diesel,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Très bon,Fiat,500,2015,3,Non,110 000 - 119 999,"['ABS', 'Toit Ouvrant', 'Airbags', 'Verrouillage Centralisé À Distance', 'Climatisation', 'CD/MP3/Bluetooth', 'Vitres Électriques', 'Jantes Aluminium', 'Limiteur De Vitesse', 'Ordinateur De Bord', 'Radar De Recul', 'ESP', 'Système De Navigation/GPS', 'Régulateur De Vitesse']"
BMW Série 1 sport,MED,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,8 CV,8 Images,"Voitures d'occasion, à vendre",Autre secteur,Dédouanée,Excellent,BMW,Serie 1,2017,5,Oui,70 000 - 74 999,"['ABS', 'Ordinateur De Bord', 'ESP', 'Jantes Aluminium', 'Caméra De Recul', 'CD/MP3/Bluetooth', 'Limiteur De Vitesse', 'Airbags', 'Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Vitres Électriques', 'Système De Navigation/GPS', 'Climatisation']"
1ÈRE MAIN BMW SERIE 4 GRANCOUPÉ SPORT,LAACHIRI AUTO,270 000 DH,Tanger,Diesel,Automatique,8 CV,19 Images,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,BMW,Serie 4 gran coupé,2018,5,Oui,120 000 - 129 999,[]
Maserati Ghibli,AUTO REDA,300 000 DH,Casablanca,Diesel,Automatique,12 CV,11 Images,"Voitures d'occasion, à vendre",Maarif,,Excellent,Maserati,Ghibli,2017,,Oui,90 000 - 94 999,"['Limiteur De Vitesse', 'CD/MP3/Bluetooth', 'Radar De Recul', 'Airbags', 'Régulateur De Vitesse', 'Sièges Cuir', 'Verrouillage Centralisé À Distance', 'Toit Ouvrant', 'Vitres Électriques', 'Jantes Aluminium', 'ESP', 'Climatisation', 'Caméra De Recul', 'ABS', 'Ordinateur De Bord', 'Système De Navigation/GPS']"
1ÈRE MAIN AUDI A5 SPORTBACK AVUS FULL,LAACHIRI AUTO,225 000 DH,Tanger,Diesel,Automatique,8 CV,20 Images,"Voitures d'occasion, à vendre",Centre ville,,Excellent,Audi,a5_sportback,2013,5,Oui,100 000 - 109 999,[]
1ÈRE MAIN MERCEDES E COUPÉ AMG LINE DESIGNO,LAACHIRI AUTO,PRIX NON SPÉCIFIÉ,Tanger,Diesel,Automatique,8 CV,20 Images,"Voitures d'occasion, à vendre",Centre ville,Importée neuve,Excellent,Mercedes-Benz,classe_e_coupe,2018,3,Oui,65 000 - 69 999,[]
Mercedes-Benz Classe A 200 Pack AMG Line plus,AUTO REDA,400 000 DH,Casablanca,Diesel,Automatique,8 CV,12 Images,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Mercedes-Benz,Classe A,2022,5,Oui,100 000 - 109 999,"['ABS', 'Limiteur De Vitesse', 'Jantes Aluminium', 'Toit Ouvrant', 'ESP', 'Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'Sièges Cuir', 'Régulateur De Vitesse', 'Radar De Recul', 'CD/MP3/Bluetooth', 'Climatisation', 'Vitres Électriques', 'Airbags', 'Ordinateur De Bord', 'Caméra De Recul']"
Volkswagen Tiguan Diesel Automatique 2020,Youssef,310 000 DH,Casablanca,Diesel,Automatique,8 CV,6 Images,"Voitures d'occasion, à vendre",Route d'El Jadida,WW au Maroc,Excellent,Volkswagen,Tiguan,2020,,,80 000 - 84 999,"['Système De Navigation/GPS', 'CD/MP3/Bluetooth', 'ABS', 'Régulateur De Vitesse', 'Jantes Aluminium', 'Sièges Cuir', 'ESP', 'Radar De Recul', 'Climatisation', 'Airbags', 'Vitres Électriques', 'Caméra De Recul', 'Ordinateur De Bord', 'Verrouillage Centralisé À Distance', 'Limiteur De Vitesse']"
Range Rover vogue Autobiographie Black line,AUTO REDA,640 000 DH,Casablanca,Diesel,Automatique,12 CV,9 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2019,3,Oui,90 000 - 94 999,"['Jantes Aluminium', 'Caméra De Recul', 'Système De Navigation/GPS', 'Airbags', 'Toit Ouvrant', 'Régulateur De Vitesse', 'Sièges Cuir', 'Radar De Recul', 'CD/MP3/Bluetooth', 'ESP', 'Vitres Électriques', 'Verrouillage Centralisé À Distance', 'ABS', 'Climatisation', 'Ordinateur De Bord', 'Limiteur De Vitesse']"
Dacia Sandero Diesel Manuelle 2020 à Casablanca,Global Occaz Marrif,134 000 DH,Casablanca,Diesel,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Dacia,Sandero,2020,5,Oui,80 000 - 84 999,[]
Hyundai Creta Diesel Manuelle 2016 à Rabat,auto malak,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Hay el Fath,,Excellent,Hyundai,CRETA,2016,5,Oui,120 000 - 129 999,[]
داصيا دوكير,Automobiles chamal,95 000 DH,Ouazzane,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Très bon,Dacia,Dokker,2013,5,Non,200 000 - 249 999,"['Climatisation', 'CD/MP3/Bluetooth', 'Système De Navigation/GPS', 'Airbags', 'Verrouillage Centralisé À Distance', 'Jantes Aluminium']"
Kangoo dci modil 2012 clima,Agadir,PRIX NON SPÉCIFIÉ,Agadir,Diesel,Manuelle,6 CV,7 Images,"Voitures d'occasion, à vendre",Anahda,WW au Maroc,Très bon,Renault,Kangoo,2012,5,Non,100 000 - 109 999,"['Verrouillage Centralisé À Distance', 'Régulateur De Vitesse', 'Sièges Cuir', 'ABS', 'Système De Navigation/GPS', 'ESP', 'Airbags', 'Limiteur De Vitesse', 'Climatisation', 'CD/MP3/Bluetooth', 'Caméra De Recul', 'Radar De Recul', 'Vitres Électriques', 'Ordinateur De Bord']"
